"ParkName","UnitCode","ParkType","NPFlag","Region","States","latitude","longitude","DateCreated","Age","NPS.Fee.Acres","Private.Acres","Gross.Area.Acres","RecreationVisitsTotal2019","RecreationHoursTotal2019","AvgMonthlyVisits2019","AvgMonthlyHours2019","activities","topics","entranceFees"
"Cane River Creole","CARI","National Historical Park",0,"Southeast ","LA","31.65408447","-93.00131977",1994-11-02,26,"62.39","138.47","205.5","29,922","59,843",2493.5,4986.91666666667,"Arts and Culture, Guided Tours, Junior Ranger Program, Self-Guided Tours - Walking","African American Heritage, Animals, Architecture and Building, Birds, Enslavement, Farming and  Agriculture, Laborer and Worker, Plantations","Entrance Fees (0.0000)"
"Carl Sandburg Home","CARL","National Historic Site",0,"Southeast ","NC","35.26815509","-82.45106258",1968-10-17,52,"263.52","4.97","268.49","78,144","119,955",6512,9996.25,"Arts and Culture, Guided Tours, Theater","Arts, Poetry and Literature","House Tour Fee - Adults age 16-61 (8.0000), Entrance Fee (0.0000), House Tour Fee - Adults age 62 and older, and all interagency pass holders (5.0000), House Tour Fee - Children age 15 and under (0.0000)"
"Castillo de San Marcos","CASA","National Monument",0,"Southeast ","FL","29.89785701","-81.31217173",1924-10-15,96,"19.31","0.01","19.38","673,395","505,047",56116.25,42087.25,"Historic Weapons Demonstration, Junior Ranger Program, Living History, Park Film","Architecture and Building, Artillery, Coastal Defenses, Colonial/European Contact Conflicts, Forts, Hispanic American Heritage, Maritime, Military, Monuments and Memorials, Wars and Conflicts","Castillo Entrance Fee - Per Person - Adult (15.0000), Castillo Entrance Fee - Per Person - Child (0.0000)"
"Catoctin Mountain","CATO","Park",0,"National Capital ","MD","39.65068457","-77.46417665",1936-11-14,84,"5,890.36","1.13","5,891.49","296,846","1,271,320",24737.1666666667,105943.333333333,"Bookstore and Park Store, Camping, Climbing, Compass and GPS, Cross-Country Skiing, Fishing, Fly Fishing, Food, Front-Country Hiking, Group Camping, Hiking, Horse Trekking, Horseback Riding, Junior Ranger Program, Museum Exhibits, Orienteering, Picnicking, Shopping, Skiing, Snowshoeing","African American Heritage, Animals, Birds, Civil Rights, Climate Change, Fish, Forests and Woodlands, Geology, Industry, Logging and Timber Cutting, Mills, Native American Heritage, Reconstruction, Social Movements, Trails","Entrance (0.0000)"
"Carlsbad Caverns","CAVE","National Park",1,"Intermountain ","NM","32.14089463","-104.5529688",1923-10-25,97,"46,427.26","339.19","46,766.45","440,691","1,687,906",36724.25,140658.833333333,"Astronomy, Backcountry Camping, Birdwatching, Bookstore and Park Store, Camping, Caving, Dining, Food, Gift Shop and Souvenirs, Guided Tours, Horse Camping (see also camping), Horse Camping (see also Horse/Stock Use), Horse Trekking, Horseback Riding, Junior Ranger Program, Park Film, Picnicking, Self-Guided Tours - Walking, Shopping, Stargazing, Wildlife Watching","Ancient Seas, Animals, Astronomy, Birds, Caves, Caverns and Karst, Fish, Geology, Native American Heritage, Night Sky, Tortoises and Turtles, Unique Species, Wilderness",NA
"Capulin Volcano","CAVO","National Monument",0,"Intermountain ","NM","36.78171096","-103.9710427",1916-08-09,104,"792.84","0","792.84","81,617","113,615",6801.41666666667,9467.91666666667,"Astronomy, Biking, Birdwatching, Front-Country Hiking, Guided Tours, Hiking, Junior Ranger Program, Museum Exhibits, Road Biking, Self-Guided Tours - Auto, Self-Guided Tours - Walking, Stargazing, Wildlife Watching","Animals, Birds, Elk, Farming and  Agriculture, Ranches, Volcanoes","Capulin Volcano Entrance Fee--Private Vehicle (20.0000), Capulin Volcano Entrance Fee--Non-Commercial Organized Groups per Person Fee (10.0000), Capulin Volcano Entrance Fee--Commercial Tours of 1 to 6 people (25.0000), Capulin Volcano Entrance Fee--Commercial Tours of 7 to 25 people (40.0000), Capulin Volcano Entrance Fee--Commercial Tours of 26 or more people (100.0000), Capulin Volcano Entrance Fee--Private Motorcycle (15.0000)"
"Carter G. Woodson Home","CAWO","National Historic Site",0,"National Capital ","DC","38.91089286","-77.02431104",2006-02-27,15,"0.15","0","0.15","2,381","1,214",198.416666666667,101.166666666667,"Bookstore and Park Store, Guided Tours, Junior Ranger Program, Museum Exhibits, Park Film, Self-Guided Tours - Walking, Shopping","African American Heritage, Architecture and Building, Civil Rights, Schools and Education, Social Movements, Urban America, Women's History","No Fee Required (0.0000)"
"Chesapeake Bay Gateways and Watertrails Network","CBGN","",0,NA,"DC,MD,NY,PA,VA,WV","37.3221206665039","-76.2533569335938",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA",NA
"Chesapeake Bay","CBPO","",0,NA,"DC,DE,MD,NY,PA,VA,WV","38.971601","-76.483355",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Boating, Compass and GPS, Geocaching, Guided Tours, Junior Ranger Program, Paddling, Wildlife Watching","Colonial/European Contact Conflicts, Colonization and Settlement, Maritime, Native American Heritage, Trails, Wars and Conflicts, Water Trails","NPS Chesapeake Bay Office (0.0000)"
"Cedar Creek & Belle Grove","CEBE","National Historical Park",0,NA,"VA","39.0093576","-78.30618934",2002-12-19,18,"122.33","3,563.67","3,707.09",NA,NA,NA,NA,"Astronomy, Bookstore and Park Store, First Person Interpretation, Gift Shop and Souvenirs, Guided Tours, Historic Weapons Demonstration, Junior Ranger Program, Living History, Museum Exhibits, Reenactments, Self-Guided Tours - Auto, Self-Guided Tours - Walking, Shopping, Stargazing","African American Heritage, Artillery, Astronomy, Battlefields, Bridges, Cavalry, Civil War, Enslavement, Farming and  Agriculture, Geology, Industry, Military, Mills, Mineral Deposits, Mountains, Night Sky, Plantations, Roads, Routes and Highways, Transportation, Wars and Conflicts, Women's History","No Entrance Fees (0.0000)"
"Cedar Breaks","CEBR","National Monument",0,"Intermountain ","UT","37.63545562","-112.845268",1933-08-22,87,"6,154.60","0","6,154.60","579,861","1,232,294",48321.75,102691.166666667,"Arts and Culture, Astronomy, Birdwatching, Bookstore and Park Store, Camping, Cross-Country Skiing, Food, Gift Shop and Souvenirs, Guided Tours, Hiking, Junior Ranger Program, Picnicking, Shopping, Skiing, Snow Play, Snowmobiling, Snowshoeing, Stargazing, Wildlife Watching","Animals, Astronomy, Birds, Forests and Woodlands, Geology, Groundwater, Lakes, Mountains, Native American Heritage, Night Sky, Trails","16 + Years Old (10.0000), Age 0-15 Free! (0.0000)"
"César E. Chávez","CECH","National Monument",0,"Pacific West ","CA","35.22729389","-118.5615781",2012-10-08,8,"1.9","106.06","116.56","16,490","8,246",1374.16666666667,687.166666666667,"Junior Ranger Program, Park Film","Burial, Cemetery and Gravesite, Civil Rights, Farming and  Agriculture, Hispanic American Heritage, Labor Movement, Laborer and Worker, Latino American Heritage, Migrant Workers, Monuments and Memorials, Social Movements","No Entrance Fee (0.0000)"
"Chamizal","CHAM","National Memorial",0,"Intermountain ","TX","31.76729634","-106.4544011",1966-06-30,55,"54.9","0","54.9","38,228","49,882",3185.66666666667,4156.83333333333,"Arts and Culture, Biking, Birdwatching, Bookstore and Park Store, Craft Demonstrations, Cultural Demonstrations, Food, Guided Tours, Hands-On, Hiking, Junior Ranger Program, Live Music, Museum Exhibits, Park Film, Picnicking, Self-Guided Tours - Walking, Shopping, Theater, Wildlife Watching","Animals, Arts, Cold War, Hispanic American Heritage, Latino American Heritage, Mexican War, Painting, Photography, Poetry and Literature, Presidents, River and Riparian, Sculpture, Urban America, Wars and Conflicts","Chamizal Entrance and Sponsored Programs (0.0000)"
"Chattahoochee River","CHAT","National Recreation Area",0,"Southeast ","GA","33.99698333","-84.28953177",1978-08-15,42,"5,048.60","2,803.48","11,272.05","3,393,133","13,572,529",282761.083333333,1131044.08333333,"Biking, Boating, Fishing, Fly Fishing, Freshwater Fishing, Junior Ranger Program, Paddling, Shopping","Animals, Birds, Fish, River and Riparian, Tortoises and Turtles","Daily Parking Fee (5.0000), Annual Parking Fee (40.0000)"
"Chickamauga & Chattanooga","CHCH","National Military Park",0,"Southeast ","GA,TN","34.94317623","-85.28749537",1890-08-19,130,"9,420.08","62.65","9,523.48","977,158","1,876,280",81429.8333333333,156356.666666667,"Auto and ATV, Biking, Bookstore and Park Store, Canoeing, Climbing, First Person Interpretation, Food, Front-Country Hiking, Guided Tours, Hiking, Historic Weapons Demonstration, Horse Trekking, Horseback Riding, Junior Ranger Program, Kayaking, Living History, Museum Exhibits, Paddling, Park Film, Picnicking, Road Biking, Rock Climbing, Scenic Driving, Self-Guided Tours - Auto, Self-Guided Tours - Walking, Shopping","Archeology, Battlefields, Civil War, Forced Marches, Military, Native American Heritage, Scenic Views, Tragic Events, US Army, Wars and Conflicts, World War I","Point Park (Lookout Mountain Battlefield) Entrance Fee - Per Person (10.0000), Chickamauga Battlefield (0.0000), Missionary Ridge (0.0000), Orchard Knob (0.0000), Moccasin Bend National Archeological District (0.0000), Signal Point (0.0000), Cravens House (Lookout Mountain Battlefield) (0.0000)"
"Chaco Culture","CHCU","National Historical Park",0,"Intermountain ","NM","36.03963414","-107.9560076",1907-03-11,114,"32,840.14","1,120.05","33,960.19","47,342","600,949",3945.16666666667,50079.0833333333,"Astronomy, Camping, Guided Tours, Hiking","Archeology, Night Sky, Ruins","Vehicle Entrance Fee (25.0000), Motorcycle Entrance Fee (20.0000), Individual Entrance Fee (15.0000)"
"Chickasaw","CHIC","National Recreation Area",0,"Intermountain ","OK","34.46050507","-97.00715669",1902-07-01,119,"9,695.79","0","9,898.63","1,422,612","6,165,499",118551,513791.583333333,"Astronomy, Biking, Birdwatching, Boating, Bookstore and Park Store, Camping, Canoeing, Car or Front Country Camping, Fishing, Food, Freshwater Fishing, Freshwater Swimming, Front-Country Hiking, Gathering and Foraging, Group Camping, Hands-On, Hiking, Horse Trekking, Horseback Riding, Hunting, Hunting and Gathering, Junior Ranger Program, Kayaking, Motorized Boating, Mountain Biking, Paddling, Picnicking, Road Biking, RV Camping, Shopping, Stand Up Paddleboarding, Stargazing, Swimming, Volunteer Vacation, Wildlife Watching","Ancient Seas, Animals, Aquifers, Architecture and Building, Astronomy, Birds, Bison, Bridges, Conservation Movement, Deciduous Forests, Fish, Forests and Woodlands, Fossils and Paleontology, Freshwater Springs, Geology, Groundwater, Lakes, Native American Heritage, Night Sky, River and Riparian, Scenic Views, Social Movements, Tortoises and Turtles, Trails, Transportation, Waterfalls","Chickasaw NRA Entrance Fee (0.0000)"
"Chiricahua","CHIR","National Monument",0,"Intermountain ","AZ","32.01214618","-109.341607",1924-04-18,97,"12,022.38","2.35","12,024.73","60,655","335,110",5054.58333333333,27925.8333333333,"Astronomy, Birdwatching, Bookstore and Park Store, Camping, Food, Guided Tours, Hiking, Junior Ranger Program, Picnicking, Shopping, Stargazing, Wildlife Watching","Animals, Birds, Geology, Grasslands, Night Sky, Rock Landscapes and Features, Trails","Chiricahua Entrance Fee (0.0000)"
"Channel Islands","CHIS","National Park",1,"Pacific West ","CA","33.98680093","-119.9112735",1938-04-26,83,"69,425.66","45,988.23","249,561.00","409,630","5,411,445",34135.8333333333,450953.75,"Astronomy, Backcountry Camping, Backcountry Hiking, Birdwatching, Boat Tour, Boat Tour, Boating, Bookstore and Park Store, Camping, Canoe or Kayak Camping, Canoe or Kayak Camping, Compass and GPS, Fishing, Fixed Wing Flying, Flying, Food, Front-Country Hiking, Group Camping, Guided Tours, Hiking, Junior Ranger Program, Kayaking, Motorized Boating, Museum Exhibits, Off-Trail Permitted Hiking, Orienteering, Paddling, Park Film, Picnicking, Sailing, Saltwater Fishing, Saltwater Swimming, SCUBA Diving, Self-Guided Tours - Walking, Shopping, Snorkeling, Stand Up Paddleboarding, Stargazing, Surfing, Swimming, Wildlife Watching","Animals, Archeology, Architecture and Building, Astronomy, Birds, Climate Change, Coastal Defenses, Coasts, Islands and Atolls, Colonization and Settlement, Commerce, Dunes, Endangered, Estuaries and Mangroves, Explorers and Expeditions, Farming and  Agriculture, Fire, Fish, Forests and Woodlands, Fossils and Paleontology, Geology, Grasslands, Lighthouses, Maritime, Maritime - Military, Marshes, Military, Monuments and Memorials, Mountains, Native American Heritage, Natural Sounds, Night Sky, Oceans, Piracy and Privateering, Ranches, Rare, River and Riparian, Scenic Views, Ships and Shipwrecks, Thickets and Shrublands, Trade, Trails, Unique Species, US Coast Guard, US Navy, Watersheds, Wetlands, Whales, Wilderness","Entrance (0.0000)"
"Chesapeake & Ohio Canal","CHOH","National Historical Park",0,"National Capital ","DC,MD,WV","39.0002836919553","-77.2481399539388",1938-09-23,82,"13,156.94","1,973.56","19,612.37","5,116,787","10,415,718",426398.916666667,867976.5,"Biking, Birdwatching, Boat Tour, Boat Tour, Boating, Camping, Car or Front Country Camping, Cross-Country Skiing, Fishing, Freshwater Fishing, Front-Country Hiking, Group Camping, Guided Tours, Hiking, Horse Trekking, Horseback Riding, Ice Skating, Junior Ranger Program, Paddling, Road Biking, Self-Guided Tours - Walking, Shopping, Skiing, Snowshoeing, Wildlife Watching","Animals, Archeology, Birds, Canals, Civil War, Dams, Deciduous Forests, Fish, Floods, Forests and Woodlands, Laborer and Worker, River and Riparian, Scenic Views, Schools and Education, Tragic Events, Trails, Transportation, Wars and Conflicts, Women's History","Great Falls only - Vehicle Entrance Fee (20.0000), Great Falls only - Bicycle or On-Foot Entrance Fee (10.0000), Great Falls only - Motorcycle Entrance Fee (15.0000), Great Falls only - Commercial Tour Entrance Fee (1-6 passengers) (25.0000), Great Falls only - Commercial Tour Entrance Fee (7-25 passengers) (40.0000), Great Falls only - Commercial Tour Entrance Fee (26+ passengers) (100.0000)"
"Charles Pinckney","CHPI","National Historic Site",0,"Southeast ","SC","32.84577392","-79.82487582",1988-09-08,32,"28.45","0","28.45","35,495","70,991",2957.91666666667,5915.91666666667,"Birdwatching, Boat Tour, Boating, Bookstore and Park Store, Citizen Science, Food, Guided Tours, Hands-On, Historic Weapons Demonstration, Junior Ranger Program, Living History, Museum Exhibits, Park Film, Picnicking, Self-Guided Tours - Walking, Shopping, Volunteer Vacation, Wildlife Watching","African American Heritage, American Revolution, American Revolutionary War, Animals, Archeology, Architecture and Building, Arts, Civil War, Colonial/European Contact Conflicts, Colonization and Settlement, Commerce, Enslavement, Farming and  Agriculture, Fish, French and Indian War, Immigration, Incarceration, Infantry and Militia, Jails and Prisons, Laborer and Worker, Marshes, Migrant Workers, Military, Monuments and Memorials, Photography, Plantations, Presidents, Religious Freedom, Roads, Routes and Highways, Schools and Education, Social Movements, Swamps, Trade, Trails, Transportation, Urban America, Wars and Conflicts, Wetlands","Fee-Free Site (0.0000)"
"Christiansted","CHRI","National Historic Site",0,"Southeast ","VI","17.73771903","-64.72906227",1952-03-04,69,"26.24","0","27.15","103,594","60,075",8632.83333333333,5006.25,"Arts and Culture, Bookstore and Park Store, Food, Gift Shop and Souvenirs, Guided Tours, Junior Ranger Program, Live Music, Museum Exhibits, Picnicking, Self-Guided Tours - Walking, Shopping","African American Heritage, Archeology, Architecture and Building, Civil Rights, Coastal Defenses, Colonial/European Contact Conflicts, Colonization and Settlement, Enslavement, Forts, Hispanic American Heritage, Maritime, Maritime - Military, Military, Piracy and Privateering, Social Movements, Wars and Conflicts","Christiansted NHS Entrance Fee (7.0000)"
"Little Rock Central High School","CHSC","National Historic Site",0,"Midwest ","AR","34.7369465","-92.29987899",1998-11-06,22,"2.22","0.86","28.22","168,918","168,918",14076.5,14076.5,"Arts and Culture, Bookstore and Park Store, Gift Shop and Souvenirs, Guided Tours, Junior Ranger Program, Live Music, Museum Exhibits, Park Film, Self-Guided Tours - Auto, Self-Guided Tours - Walking, Shopping","African American Heritage, Architecture and Building, Civil Rights, Military, Presidents, Schools and Education, Social Movements, US Army","Admission and Program Fees (0.0000)"
"Champlain Valley","CHVA","National Heritage Partnership",0,NA,"VT,NY","43.9974594116211","-73.4811935424805",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA",NA
"Charles Young Buffalo Soldiers","CHYO","National Monument",0,"Midwest ","OH","39.70817829","-83.89328575",2013-03-25,8,"59.66","0","59.66","14,106","27,861",1175.5,2321.75,"Dining, Food, Guided Tours, Junior Ranger Program, Park Film, Self-Guided Tours - Auto, Self-Guided Tours - Walking","African American Heritage, Cavalry, Indian and Frontier Wars, Infantry and Militia, Military, US Army, Wars and Conflicts","No Entrance Fees (0.0000)"
"City Of Rocks","CIRO","National Reserve",0,"Pacific West ","ID","42.0699024","-113.7124097",1988-11-18,32,"10,000.28","3,766.91","14,407.19","99,311","347,584",8275.91666666667,28965.3333333333,"Astronomy, Auto and ATV, Backcountry Camping, Biking, Birdwatching, Bookstore and Park Store, Camping, Car or Front Country Camping, Climbing, Cross-Country Skiing, First Person Interpretation, Fishing, Food, Gift Shop and Souvenirs, Group Camping, Guided Tours, Hiking, Horse Camping (see also camping), Horse Camping (see also Horse/Stock Use), Horse Trekking, Horseback Riding, Hunting, Hunting and Gathering, Ice Climbing, Ice Skating, Junior Ranger Program, Living History, Mountain Biking, Picnicking, Rock Climbing, RV Camping, Scenic Driving, Self-Guided Tours - Auto, Self-Guided Tours - Walking, Shopping, Skiing, Snow Play, Snowmobiling, Snowshoeing, Stargazing, Wildlife Watching","Animals, Arts, Astronomy, Birds, Coniferous Forests, Explorers and Expeditions, Farming and  Agriculture, Fire, Fish, Forests and Woodlands, Geology, Homesteading, Mountains, Native American Heritage, Natural Sounds, Night Sky, Photography, Ranches, Rock Landscapes and Features, Scenic Views, The Gold Rush, Trails, Westward Expansion, Wilderness",NA
"Clara Barton","CLBA","National Historic Site",0,"National Capital ","MD","38.96762882","-77.14009689",1974-10-26,46,"8.59","0","8.59","4,100","4,100",341.666666666667,341.666666666667,"Guided Tours, Museum Exhibits","Civil War, Social Movements, Tragic Events, Wars and Conflicts, Women's History","Entrance fee (0.0000)"
"Coal","COAL","National Heritage Area",0,NA,"WV","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","Coal Heritage Area Fees (0.0000)"
"Constitution Gardens","COGA","",0,NA,"DC","38.8909354","-77.04409306",1974-08-01,47,"39.23","0","39.23",NA,NA,NA,NA,"Junior Ranger Program","NA","No Entrance Fee (0.0000)"
"Colorado","COLM","National Monument",0,"Intermountain ","CO","39.05045016","-108.6920709",1911-05-24,110,"20,536.39","0","20,536.39","397,032","1,377,234",33086,114769.5,"Auto and ATV, Backcountry Camping, Biking, Bookstore and Park Store, Camping, Car or Front Country Camping, Climbing, Hiking, Road Biking, Rock Climbing, Scenic Driving, Shopping, Wildlife Watching","Animals, Canyons and Canyonlands, Geology, Roads, Routes and Highways, Scenic Views, Trails, Transportation","Private Non-commercial Vehicle Entrance Fee (25.0000), Motorcycle Entrance Fee (20.0000), Individual Entrance Fee (Hiker, Bicyclist) (15.0000), Commercial Entrance Fee - Sedan (40.0000), Commercial Entrance Fee - Van & Minibus (40.0000), Commercial Entrance Fee - Motorcoach (100.0000), Non-commercial Groups (15.0000)"
"Colonial","COLO","National Historical Park",0,"Northeast ","VA","37.22824435","-76.61998123",1930-12-30,90,"8,048.71","1.03","8,675.04","3,327,268","3,523,221",277272.333333333,293601.75,"Guided Tours, Junior Ranger Program, Self-Guided Tours - Walking","American Revolution, Animals, Birds, Fish","For Those Without An Entrance Pass to Yorktown Battlefield (10.0000), For Those Without An Entrance Pass to Historic Jamestowne (20.0000), No Additional Charge for Holders of These Passes (0.0000), For Historic Jamestowne Other National Park Pass Holders Will Be Charged an additional $5.00 per adult (5.0000)"
"Coltsville","COLT","National Historical Park",0,NA,"CT","42.4677505493164","-73.2036666870117",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","Armories, Factories, Industry, Military, Wars and Conflicts","Coltsville Entrance Fee (0.0000)"
"Congaree","CONG","National Park",1,"Southeast ","SC","33.79187523","-80.74867805",1976-10-18,44,"26,384.83","91.64","26,476.47","159,445","670,956",13287.0833333333,55913,"Backcountry Camping, Backcountry Hiking, Bookstore and Park Store, Camping, Canoe or Kayak Camping, Canoe or Kayak Camping, Canoeing, Car or Front Country Camping, Citizen Science, Fishing, Food, Freshwater Fishing, Front-Country Hiking, Group Camping, Guided Tours, Hands-On, Hiking, Junior Ranger Program, Kayaking, Museum Exhibits, Off-Trail Permitted Hiking, Paddling, Picnicking, Self-Guided Tours - Walking, Shopping, Volunteer Vacation","African American Heritage, Alligators or Crocodiles, American Revolution, American Revolutionary War, Animals, Archeology, Arts, Astronomy, Birds, Bridges, Cats (wild), Civil War, Climate Change, Colonial/European Contact Conflicts, Colonization and Settlement, Endangered, Enslavement, Explorers and Expeditions, Farming and  Agriculture, Fish, Forests and Woodlands, Geology, Groundwater, Hispanic American Heritage, Incarceration, Industry, Lakes, Logging and Timber Cutting, Native American Heritage, Natural Sounds, Night Sky, Painting, Photography, Poetry and Literature, Rare, Reconstruction, Religion and Spirituality, River and Riparian, Roads, Routes and Highways, Scenic Views, Schools and Education, Science, Technology and Innovation, Swamps, Tortoises and Turtles, Trails, Transportation, Unique Species, Wars and Conflicts, Water Trails, Watersheds, Wetlands, Wilderness","No Entrance Fee (0.0000)"
"Coronado","CORO","National Memorial",0,"Intermountain ","AZ","31.34900397","-110.2561574",1952-07-09,69,"4,828.22","2","4,830.22","130,328","155,389",10860.6666666667,12949.0833333333,"Auto and ATV, Birdwatching, Bookstore and Park Store, Caving, Food, Guided Tours, Hiking, Junior Ranger Program, Picnicking, Scenic Driving, Shopping, Wildlife Watching","Animals, Birds, Caves, Caverns and Karst, Explorers and Expeditions, Geology, Monuments and Memorials, Watersheds","Coronado National Memorial Entrance Fee (0.0000)"
"Cowpens","COWP","National Battlefield",0,"Southeast ","SC","35.13160654","-81.80935433",1929-03-04,92,"790.9","4.03","841.56","223,413","191,350",18617.75,15945.8333333333,"Biking, Food, Guided Tours, Junior Ranger Program, Living History, Museum Exhibits, Park Film, Picnicking, Road Biking, Self-Guided Tours - Auto, Self-Guided Tours - Walking","American Revolution, American Revolutionary War, Battlefields, Military, Wars and Conflicts","Entrance Fee (0.0000)"
"Cane River","CRHA","National Heritage Area",0,NA,"LA","31.5982227325439","-92.9234390258789",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arts and Culture, Birdwatching, Canoeing, Dining, Fishing, Food, Freshwater Fishing, Front-Country Hiking, Hiking, Kayaking, Museum Exhibits, Paddling, Picnicking, Wildlife Watching","Alligators or Crocodiles, Animals, Birds, Climate Change, Deciduous Forests, Farming and  Agriculture, Forests and Woodlands, Marshes, Music, Plantations, River and Riparian, Swamps, Tortoises and Turtles, Trails, Unique Species, Water Trails, Watersheds, Wetlands","Cane River NHA (0.0000)"
"Crater Lake","CRLA","National Park",1,"Pacific West ","OR","42.94065854","-122.1338414",1902-05-22,119,"183,223.77","0.28","183,224.05","704,512","3,411,782",58709.3333333333,284315.166666667,"Arts and Crafts, Astronomy, Auto and ATV, Backcountry Hiking, Biking, Birdwatching, Boat Tour, Boat Tour, Boating, Bookstore and Park Store, Bus/Shuttle Guided Tour, Camping, Canoe or Kayak Camping, Canoe or Kayak Camping, Canoeing, Car or Front Country Camping, Citizen Science, Climbing, Compass and GPS, Cross-Country Skiing, Dining, Fishing, Food, Front-Country Hiking, Geocaching, Gift Shop and Souvenirs, Group Camping, Guided Tours, Hands-On, Hiking, Junior Ranger Program, Kayaking, Mountain Biking, Off-Trail Permitted Hiking, Orienteering, Paddling, Park Film, Picnicking, Road Biking, Scenic Driving, Self-Guided Tours - Auto, Self-Guided Tours - Walking, Shopping, Skiing, Snow Play, Snowmobiling, Snowshoeing, Stand Up Paddleboarding, Stargazing, Swimming, Volunteer Vacation, Water Skiing, Wildlife Watching","Animals, Archeology, Architecture and Building, Arts, Birds, Catastrophic Fires, Cats (wild), Climate Change, Coniferous Forests, Endangered, Fire, Fish, Forests and Woodlands, Glaciers, Impact Craters, Lakes, Mountains, Music, Native American Heritage, Natural Sounds, Night Sky, Painting, Photography, Poetry and Literature, Rare, Scenic Views, Tortoises and Turtles, Tragic Events, Unique Species, Waterfalls, Watersheds, Westward Expansion","Car (30.0000), Motorcycle (25.0000), Bicycle (15.0000), Commercial Vehicles (Capacity of 1 to 6 passengers) (25.0000), Commercial Vehicles (Capacity of 7 to 15 passengers) (75.0000), Commerical Vehicles (Capacity of 16 to 25 passengers) (100.0000), Commercial Vehicles (Capacity of 26 or more passengers) (200.0000), Pedestrian (15.0000)"
"Craters Of The Moon","CRMO","National Monument & Preserve",0,"Pacific West ","ID","43.20345611","-113.4791609",1924-05-02,97,"464,170.56","6,561.64","752,377.33","272,224","774,626",22685.3333333333,64552.1666666667,"Astronomy, Auto and ATV, Backcountry Camping, Backcountry Hiking, Biking, Bookstore and Park Store, Camping, Caving, Gift Shop and Souvenirs, Group Camping, Hiking, Junior Ranger Program, Museum Exhibits, Road Biking, Scenic Driving, Shopping, Snowshoeing, Stargazing","Animals, Birds, Caves, Caverns and Karst, Climate Change, Forests and Woodlands, Geology, Native American Heritage, Night Sky, Rock Landscapes and Features, Schools and Education, Trails, Volcanoes, Wilderness","NPS Monument Entrance Fee - Private Vehicle (20.0000), NPS Monument Entrance Fee - Per Person / bicycle or foot (10.0000), Winter Recreation Access (0.0000), NPS Monument Entrance Fee - Motorcycle (15.0000)"
"Cumberland Gap","CUGA","National Historical Park",0,"Southeast ","KY,TN,VA","36.62503076","-83.6114083",1940-06-11,81,"24,344.95","6.21","24,546.83","704,598","1,480,826",58716.5,123402.166666667,"Backcountry Hiking, Biking, Bookstore and Park Store, Camping, Caving, Guided Tours, Hiking, Park Film, Shopping, Wildlife Watching","Animals, Arts, Birds, Caves, Caverns and Karst, Civil War, Colonization and Settlement, Explorers and Expeditions, Farming and  Agriculture, Fish, Forests and Woodlands, Geology, Migrations, Mountains, Native American Heritage, Photography, River and Riparian, Rock Landscapes and Features, Scenic Views, Trails, Wars and Conflicts, Westward Expansion","Entrance Fees (0.0000)"
"Cumberland Island","CUIS","National Seashore",0,"Southeast ","GA","30.85857484","-81.45253575",1972-10-23,48,"18,866.37","3,001.76","36,346.83","53,904","921,184",4492,76765.3333333333,"Biking, Birdwatching, Boating, Camping, Guided Tours, Hiking, Hunting, Hunting and Gathering, Saltwater Swimming, Swimming, Wildlife Watching","Animals, Fire","Entrance Fee - Adults 16 and over (10.0000), Sea Camp Campground (22.0000), Stafford Beach Campground (12.0000), Hickory Hill Campground (9.0000), Yankee Paradise Campground (9.0000), Brickhill Bluff Campground (9.0000), Sea Camp Groupsite (40.0000)"
"Curecanti","CURE","National Recreation Area",0,"Intermountain ","CO","38.46584558","-107.3303371",1965-02-11,56,"1,122.30","0","43,590.56","836,034","3,921,345",69669.5,326778.75,"Auto and ATV, Birdwatching, Boat Tour, Boat Tour, Boating, Camping, Fishing, Fly Fishing, Guided Tours, Hiking, Horse Trekking, Horseback Riding, Hunting, Hunting and Gathering, Scenic Driving, Swimming, Wildlife Watching","Animals, Archeology, Explorers and Expeditions, Fish, Fossils and Paleontology, Geology, Rare, Trails, Trains and Railroads, Transportation, Unique Species","Entrance Fee (0.0000)"
